employee_id,employee_name,amount,pay_period
E001,Alice,1000,2024-01
E001,Alice,1000,2024-01
E002,,500,2024-02
E003,Charlie,invalid,2024-03
E004,Diana,,2024-04
E005,Evan,1200,2024-01
E006,Bob,1500,2024-02
E007,Alice,abc,2024-03
E008,Charlie,1700,2024-04
E009,Diana,1800,2024-01
E010,Evan,1900,2024-02
E011,Bob,2000,2024-03
E012,Alice,2100,2024-04
E013,Charlie,2200,2024-01
E014,Diana,2300,2024-02
E015,Evan,2400,2024-03
E016,Bob,2500,2024-04
E017,Alice,2600,2024-01
E018,Charlie,2700,2024-02
E019,Diana,2800,2024-03
E020,Evan,2900,2024-04
E021,Bob,3000,2024-01
E022,Alice,3100,2024-02
E023,Charlie,3200,2024-03
E024,Diana,3300,2024-04
E025,Evan,3400,2024-01
E026,Bob,3500,2024-02
E027,Alice,3600,2024-03
E028,Charlie,3700,2024-04
E029,Diana,3800,2024-01
E030,Evan,3900,2024-02
E031,Bob,4000,2024-03
E032,Alice,4100,2024-04
E033,Charlie,4200,2024-01
E034,Diana,4300,2024-02
E035,Evan,4400,2024-03
E036,Bob,4500,2024-04
E037,Alice,4600,2024-01
E038,Charlie,4700,2024-02
E039,Diana,4800,2024-03
E040,Evan,4900,2024-04
E041,Bob,5000,2024-01
E042,Alice,5100,2024-02
E043,Charlie,5200,2024-03
E044,Diana,5300,2024-04
E045,Evan,5400,2024-01
E046,Bob,5500,2024-02
E047,Alice,5600,2024-03
E048,Charlie,5700,2024-04
E049,Diana,5800,2024-01
E050,Evan,5900,2024-02
E051,Bob,6000,2024-03
E052,Alice,6100,2024-04
E053,Charlie,6200,2024-01
E054,Diana,6300,2024-02
E055,Evan,6400,2024-03
E056,Bob,6500,2024-04
E057,Alice,6600,2024-01
E058,Charlie,6700,2024-02
E059,Diana,6800,2024-03
E060,Evan,6900,2024-04
E061,Bob,7000,2024-01
E062,Alice,7100,2024-02
E063,Charlie,7200,2024-03
E064,Diana,7300,2024-04
E065,Evan,7400,2024-01
E066,Bob,7500,2024-02
E067,Alice,7600,2024-03
E068,Charlie,7700,2024-04
E069,Diana,7800,2024-01
E070,Evan,7900,2024-02
E071,Bob,8000,2024-03
E072,Alice,8100,2024-04
E073,Charlie,8200,2024-01
E074,Diana,8300,2024-02
E075,Evan,8400,2024-03
E076,Bob,8500,2024-04
E077,Alice,8600,2024-01
E078,Charlie,8700,2024-02
E079,Diana,8800,2024-03
E080,Evan,8900,2024-04
E081,Bob,9000,2024-01
E082,Alice,9100,2024-02
E083,Charlie,9200,2024-03
E084,Diana,9300,2024-04
E085,Evan,9400,2024-01
E086,Bob,9500,2024-02
E087,Alice,9600,2024-03
E088,Charlie,9700,2024-04
E089,Diana,9800,2024-01
E090,Evan,9900,2024-02
E091,Bob,10000,2024-03
E092,Alice,10100,2024-04
E093,Charlie,10200,2024-01
E094,Diana,10300,2024-02
E095,Evan,10400,2024-03
E096,Bob,10500,2024-04
E097,Alice,10600,2024-01
E098,Charlie,10700,2024-02
E099,Diana,10800,2024-03
E100,Evan,10900,2024-04
